="",="(1)",="(2)",="(3)"
="",="Has occupation",="Has occupation",="Has occupation"
="",="b/se",="b/se",="b/se"
="Birth Parish (Treated)",="-0.005*",="-0.004*",="0.002"
="",="(0.00)",="(0.00)",="(0.00)"
="Age",="",="0.047***",="0.067***"
="",="",="(0.00)",="(0.00)"
="Age Squared",="",="-0.001***",="-0.001***"
="",="",="(0.00)",="(0.00)"
="Female (1 = Yes 0 = No)",="",="-0.463***",="-0.443***"
="",="",="(0.00)",="(0.00)"
="Divorced",="",="",="0.000"
="",="",="",="(.)"
="Married",="",="",="-0.367***"
="",="",="",="(0.01)"
="Other",="",="",="-0.112"
="",="",="",="(0.19)"
="Unmarried",="",="",="-0.052***"
="",="",="",="(0.01)"
="Widow/Widower",="",="",="0.045***"
="",="",="",="(0.01)"
="Literate",="",="",="0.000"
="",="",="",="(.)"
="Post primary schooling",="",="",="0.265***"
="",="",="",="(0.02)"
="Post-secondary and university",="",="",="0.242***"
="",="",="",="(0.03)"
="Primary school",="",="",="0.286***"
="",="",="",="(0.02)"
="Constant",="0.630***",="0.264***",="-0.285***"
="",="(0.00)",="(0.01)",="(0.03)"
="R-squared",="0.00",="0.24",="0.30"
="Observations",="770075",="770075",="770075"
="F-stat",="5.506",="61936.779",="37819.375"
="Mean Dependent Var",="0.63",="0.63",="0.63"
="Robust standard errors in parentheses"
