="",="(1)",="(2)",="(3)"
="",="Log Income",="Log Income",="Log Income"
="",="b/se",="b/se",="b/se"
="Birth Parish (Treated)",="0.464***",="0.384***",="0.317***"
="",="(0.01)",="(0.01)",="(0.01)"
="age_40_plus",="-0.756***",="-0.367***",="-0.274***"
="",="(0.01)",="(0.01)",="(0.01)"
="Age",="",="0.217***",="0.157***"
="",="",="(0.00)",="(0.00)"
="Age Squared",="",="-0.003***",="-0.002***"
="",="",="(0.00)",="(0.00)"
="Female (1 = Yes 0 = No)",="",="-1.638***",="-1.505***"
="",="",="(0.01)",="(0.01)"
="Divorced",="",="",="0.000"
="",="",="",="(.)"
="Married",="",="",="1.077***"
="",="",="",="(0.05)"
="Other",="",="",="-0.254"
="",="",="",="(1.07)"
="Unmarried",="",="",="0.487***"
="",="",="",="(0.05)"
="Widow/Widower",="",="",="0.260***"
="",="",="",="(0.05)"
="Literate",="",="",="0.000"
="",="",="",="(.)"
="Post primary schooling",="",="",="1.008***"
="",="",="",="(0.04)"
="Post-secondary and university",="",="",="1.277***"
="",="",="",="(0.05)"
="Primary school",="",="",="0.458***"
="",="",="",="(0.04)"
="Elite",="",="",="0.000"
="",="",="",="(.)"
="Farmers and fishermen",="",="",="-1.400***"
="",="",="",="(0.03)"
="Foremen",="",="",="-0.636***"
="",="",="",="(0.03)"
="Low-skilled workers",="",="",="-1.242***"
="",="",="",="(0.03)"
="Medium-skilled workers",="",="",="-0.876***"
="",="",="",="(0.03)"
="Unskilled workers",="",="",="-1.629***"
="",="",="",="(0.03)"
="White collar",="",="",="-0.133***"
="",="",="",="(0.03)"
="Constant",="5.776***",="2.519***",="3.581***"
="",="(0.00)",="(0.02)",="(0.07)"
="R-squared",="0.02",="0.19",="0.24"
="Observations",="812955",="812955",="812955"
="F-stat",="6734.361",="35740.934",="14619.208"
="Mean Dependent Var",="5.42",="5.42",="5.42"
="Robust standard errors in parentheses"
